,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
231,002601.SZ,002601,1,龙佰集团,19.62,基础化工,焦作市,0.13,0.58,9.7395,5.84,23.86,19.88,390.01,19.62,5.09
232,002600.SZ,002600,1,领益智造,14.67,电子设备,江门市,0.17,0.13,2.9077,4.59,70.08,69.0,1012.18,14.67,2.23
233,002594.SZ,002594,1,比亚迪,108.7,交运设备,深圳市,1.2,1.71,69.2493,7.43,91.17,34.87,3790.63,108.7,2.63
234,002493.SZ,002493,1,荣盛石化,9.55,基础化工,杭州市,0.12,0.06,4.2935,1.37,99.89,93.62,894.09,9.55,-0.73
235,002475.SZ,002475,1,立讯精密,52.74,电子设备,深圳市,1.11,0.92,10.2355,9.13,72.52,72.39,3817.78,52.74,0.06
236,002466.SZ,002466,1,天齐锂业,45.31,有色金属,遂宁市,0.19,0.05,25.5364,0.2,16.41,14.76,668.71,45.31,2.91
237,002463.SZ,002463,1,沪电股份,68.94,电子设备,苏州市,0.4,0.8754,6.622,13.37,19.24,19.22,1325.32,68.94,-4.12
238,002460.SZ,002460,1,赣锋锂业,48.66,有色金属,新余市,0.22,-0.27,19.9392,-1.29,20.57,12.08,587.73,48.66,4.49
239,002459.SZ,002459,1,晶澳科技,13.26,电气设备,邢台市,0.11,-0.79,7.3376,-9.79,33.1,33.05,438.3,13.26,-0.23
240,002422.SZ,002422,1,科伦药业,37.55,医药生物,成都市,0.17,0.63,14.8175,4.35,15.98,13.06,490.36,37.55,0.75
241,002415.SZ,002415,1,海康威视,30.49,信息技术,杭州市,0.47,0.615,8.5076,6.85,91.65,90.46,2758.26,30.49,-0.85
242,002371.SZ,002371,1,北方华创,380.0,电子设备,北京市,0.68,4.4496,46.8302,9.81,7.22,7.21,2739.89,380.0,0.79
243,002352.SZ,002352,1,顺丰控股,41.66,交通运输,深圳市,0.42,1.16,19.1079,6.07,50.39,47.72,1988.02,41.66,-0.14
244,002311.SZ,002311,1,海大集团,67.35,农林牧渔,广州市,0.22,1.59,14.6675,10.7,16.64,16.63,1119.71,67.35,3.62
245,002304.SZ,002304,1,洋河股份,72.13,食品饮料,宿迁市,0.18,2.8834,32.4827,8.54,15.06,15.06,1086.57,72.13,-0.7
246,002252.SZ,002252,1,上海莱士,6.84,医药生物,上海市,0.15,0.155,4.8823,3.19,66.38,66.34,453.8,6.84,0.15
247,002241.SZ,002241,1,歌尔股份,34.11,电子设备,潍坊市,0.33,0.41,9.7058,4.21,35.01,30.93,1055.15,34.11,5.47
248,002236.SZ,002236,1,大华股份,18.38,信息技术,杭州市,0.15,0.76,11.2997,6.72,32.87,21.16,388.91,18.38,-0.97
249,002230.SZ,002230,1,科大讯飞,51.6,信息技术,合肥市,0.49,-0.1034,7.728,-1.35,23.12,21.89,1129.57,51.6,0.25
250,002180.SZ,002180,1,纳思达,22.51,信息技术,珠海市,0.09,-0.2193,6.8138,-3.12,14.22,13.65,307.28,22.51,-1.44
251,002179.SZ,002179,1,中航光电,38.9,电子设备,洛阳市,0.21,0.7037,11.0529,5.96,21.18,20.81,809.4,38.9,-1.04
252,002142.SZ,002142,1,宁波银行,27.84,金融,宁波市,0.39,2.24,33.31,6.9,66.04,66.0,1837.41,27.84,-1.24
253,002129.SZ,002129,1,TCL中环,8.5,电气设备,天津市,0.11,-1.0624,6.6003,-14.74,40.43,40.4,343.4,8.5,0.59
254,002074.SZ,002074,1,国轩高科,45.96,电气设备,合肥市,0.21,0.2,14.5638,1.4,18.05,17.28,793.98,45.96,-2.67
255,002050.SZ,002050,1,三花智控,35.66,机械设备,绍兴市,0.32,0.57,7.0091,10.39,42.09,36.84,1313.83,35.66,3.36
256,002049.SZ,002049,1,紫光国微,78.64,电子设备,唐山市,0.22,0.8206,14.9501,5.44,8.5,8.49,667.99,78.64,0.4
257,002028.SZ,002028,1,思源电气,93.22,电气设备,上海市,0.24,1.66,17.1841,9.89,7.78,6.07,565.65,93.22,-0.24
258,002027.SZ,002027,1,分众传媒,8.11,互联网,上海市,0.34,0.1845,1.132,14.52,144.42,144.42,1171.26,8.11,-0.61
259,002001.SZ,002001,1,新和成,24.65,医药生物,绍兴市,0.16,1.17,9.9189,11.87,30.73,30.37,748.59,24.65,-2.14
260,001979.SZ,001979,1,招商蛇口,9.7,房地产,深圳市,0.14,0.14,10.8552,1.26,90.61,84.58,820.47,9.7,2.54
261,001965.SZ,001965,1,招商公路,10.04,交通运输,天津市,0.09,0.3684,9.5611,3.7,68.2,68.2,684.76,10.04,-0.3
262,001391.SZ,001391,1,国货航,6.73,交通运输,北京市,0.02,0.1,2.0886,4.88,122.09,8.59,57.79,6.73,0.0
263,001289.SZ,001289,1,龙源电力,17.31,公用事业,北京市,0.01,0.4037,8.9506,4.51,83.6,50.42,872.76,17.31,-0.52
264,000999.SZ,000999,1,华润三九,29.3,医药生物,深圳市,0.08,1.09,12.7817,8.8,16.64,16.63,487.17,29.3,-0.68
265,000983.SZ,000983,1,山西焦煤,7.23,化石能源,太原市,0.08,0.1786,6.4342,2.79,56.77,46.4,335.49,7.23,4.03
266,000977.SZ,000977,1,浪潮信息,63.77,信息技术,济南市,0.27,0.5425,13.8753,3.96,14.72,14.7,937.73,63.77,-0.48
267,000975.SZ,000975,1,山金国际,21.0,有色金属,锡林郭勒盟,0.15,0.5747,4.8882,11.72,27.77,25.27,530.76,21.0,-1.55
268,000963.SZ,000963,1,华东医药,42.68,医药生物,杭州市,0.16,1.0293,13.541,7.62,17.54,17.52,747.73,42.68,-0.54
269,000938.SZ,000938,1,紫光股份,28.76,信息技术,北京市,0.24,0.3639,4.9331,7.54,28.6,28.6,822.56,28.76,-1.78
270,000895.SZ,000895,1,双汇发展,25.58,食品饮料,漯河市,0.11,0.6705,6.0158,10.85,34.65,34.64,886.15,25.58,-0.51
271,000876.SZ,000876,1,新希望,10.52,农林牧渔,绵阳市,0.1,0.16,4.9685,2.94,45.03,44.99,473.29,10.52,1.54
272,000858.SZ,000858,1,五粮液,126.65,食品饮料,宜宾市,1.03,5.0216,36.1903,13.63,38.82,38.81,4915.85,126.65,-0.42
273,000807.SZ,000807,1,云铝股份,20.73,有色金属,昆明市,0.18,0.8,8.8462,9.38,34.68,34.68,718.9,20.73,-0.38
274,000800.SZ,000800,1,一汽解放,7.18,交运设备,长春市,0.03,0.004,5.3118,0.08,49.21,49.21,353.32,7.18,0.84
275,000792.SZ,000792,1,盐湖股份,20.44,基础化工,海西蒙古族藏族自治州,0.31,0.4753,7.3848,7.12,52.92,52.92,1081.59,20.44,0.89
276,000786.SZ,000786,1,北新建材,25.28,建材,北京市,0.11,1.142,15.4783,7.24,17.0,16.35,413.32,25.28,-0.12
277,000776.SZ,000776,1,广发证券,21.23,金融,广州市,0.26,0.79,16.3489,4.83,76.06,59.04,1253.43,21.23,0.81
278,000768.SZ,000768,1,中航西飞,24.91,国防与装备,西安市,0.15,0.2481,7.7214,3.8,27.81,27.73,690.69,24.91,-0.64
279,000725.SZ,000725,1,京东方A,4.16,电子设备,北京市,0.64,0.09,3.5546,2.45,374.14,367.06,1526.97,4.16,-0.24
280,000708.SZ,000708,1,中信特钢,13.02,钢铁,黄石市,0.06,0.55,8.1047,6.66,50.47,50.47,657.14,13.02,-1.29
281,000661.SZ,000661,1,长春高新,126.81,医药生物,长春市,0.17,2.44,55.9826,4.19,4.08,4.0,506.76,126.81,0.88
282,000651.SZ,000651,1,格力电器,40.94,家电,珠海市,0.77,2.6,24.1717,10.09,56.01,55.15,2257.9,40.94,-0.27
283,000630.SZ,000630,1,铜陵有色,4.66,有色金属,铜陵市,0.15,0.11,2.6304,4.2,130.83,108.17,504.05,4.66,-1.69
284,000625.SZ,000625,1,长安汽车,12.53,交运设备,重庆市,0.26,0.23,7.6701,3.0,99.14,82.61,1035.04,12.53,0.64
285,000617.SZ,000617,1,中油资本,10.9,金融,克拉玛依市,0.12,0.21,8.1692,2.52,126.42,126.42,1377.99,10.9,-2.15
286,000596.SZ,000596,1,古井贡酒,168.08,食品饮料,亳州市,0.12,6.93,47.6032,13.82,5.29,4.09,686.77,168.08,-1.48
287,000568.SZ,000568,1,泸州老窖,139.1,食品饮料,泸州市,0.43,5.21,31.6183,15.42,14.72,14.69,2043.61,139.1,0.07
288,000538.SZ,000538,1,云南白药,59.01,医药生物,昆明市,0.22,2.04,22.6461,9.09,17.84,17.73,1046.13,59.01,0.03
289,000425.SZ,000425,1,徐工机械,9.76,机械设备,徐州市,0.33,0.37,5.1414,7.15,117.53,92.89,906.62,9.76,0.62
290,000408.SZ,000408,1,藏格矿业,56.77,基础化工,海西蒙古族藏族自治州,0.18,1.1526,10.0134,12.27,15.7,15.7,891.41,56.77,0.82
291,000338.SZ,000338,1,潍柴动力,14.24,交运设备,潍坊市,0.32,0.65,10.2725,6.29,87.16,49.85,709.89,14.24,-0.77
292,000333.SZ,000333,1,美的集团,75.17,家电,佛山市,1.55,3.41,28.1901,11.29,76.82,69.29,5208.52,75.17,-0.53
293,000301.SZ,000301,1,东方盛虹,10.01,基础化工,苏州市,0.11,0.06,5.0879,1.13,66.11,66.09,661.52,10.01,-0.3
294,000166.SZ,000166,1,申万宏源,5.3,金融,乌鲁木齐市,0.2,0.17,4.332,4.0,250.4,225.36,1194.38,5.3,0.0
295,000157.SZ,000157,1,中联重科,7.28,机械设备,长沙市,0.15,0.32,6.6072,4.95,86.49,70.7,514.73,7.28,0.28
296,000100.SZ,000100,1,TCL科技,4.42,电子设备,惠州市,0.38,0.1014,2.854,3.54,208.01,180.97,799.88,4.42,0.23
297,000063.SZ,000063,1,中兴通讯,43.06,信息技术,深圳市,0.59,1.06,15.64,6.85,47.84,40.27,1734.18,43.06,-2.31
298,000002.SZ,000002,1,万科A,6.97,房地产,深圳市,0.2,-1.01,16.05,-6.07,119.31,97.16,677.23,6.97,0.43
299,000001.SZ,000001,1,平安银行,11.65,金融,深圳市,0.47,1.18,22.68,5.25,194.06,194.06,2260.75,11.65,-0.6
