,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
117,600918.SH,600918,1,中泰证券,6.97,金融,济南市,0.08,0.09,5.4417,1.67,69.22,39.26,273.63,6.97,-0.29
118,600905.SH,600905,1,三峡能源,4.29,公用事业,北京市,0.26,0.1333,3.0988,4.3,285.88,285.88,1226.41,4.29,0.0
119,600900.SH,600900,1,长江电力,27.8,公用事业,北京市,1.42,0.5336,8.4404,6.09,244.68,240.07,6674.02,27.8,-0.47
120,600893.SH,600893,1,航发动力,37.48,国防与装备,西安市,0.21,0.03,14.9127,0.23,26.66,26.65,998.89,37.48,-0.9
121,600887.SH,600887,1,伊利股份,28.23,食品饮料,呼和浩特市,0.74,1.14,8.4264,12.6,63.25,62.94,1776.78,28.23,-0.07
122,600886.SH,600886,1,国投电力,13.75,公用事业,北京市,0.14,0.4763,7.9438,5.93,80.04,74.54,1024.95,13.75,-1.08
123,600875.SH,600875,1,东方电气,19.45,电气设备,成都市,0.1,0.6,12.506,4.74,33.9,20.24,393.59,19.45,0.36
124,600845.SH,600845,1,宝信软件,23.66,信息技术,上海市,0.09,0.25,3.6732,6.3,28.71,21.34,504.84,23.66,-1.5
125,600809.SH,600809,1,山西汾酒,207.85,食品饮料,吕梁市,0.42,6.9716,29.4015,23.77,12.2,12.2,2535.7,207.85,0.77
126,600803.SH,600803,1,新奥股份,18.98,公用事业,石家庄市,0.07,0.78,7.4672,9.68,30.97,30.76,583.89,18.98,-0.78
127,600795.SH,600795,1,国电电力,5.18,公用事业,大连市,0.19,0.207,3.2517,6.36,178.36,178.36,923.89,5.18,0.19
128,600760.SH,600760,1,中航沈飞,58.39,国防与装备,威海市,0.27,0.41,6.392,6.43,28.35,27.48,1604.67,58.39,0.24
129,600741.SH,600741,1,华域汽车,20.14,交运设备,上海市,0.13,0.915,19.8894,4.53,31.53,31.53,634.96,20.14,-0.84
130,600690.SH,600690,1,海尔智家,26.0,家电,青岛市,0.41,1.3,12.2451,10.34,93.83,62.55,1626.17,26.0,-0.73
131,600674.SH,600674,1,川投能源,14.42,公用事业,成都市,0.12,0.5049,8.7445,5.72,48.75,48.75,702.92,14.42,-0.76
132,600660.SH,600660,1,福耀玻璃,71.35,交运设备,福州市,0.47,1.84,13.6606,13.18,26.1,20.03,1429.13,71.35,0.42
133,600600.SH,600600,1,青岛啤酒,67.61,食品饮料,青岛市,0.1,2.862,21.9637,12.8,13.64,7.09,479.44,67.61,-0.43
134,600588.SH,600588,1,用友网络,14.81,互联网,北京市,0.13,-0.28,2.2091,-12.18,34.17,34.17,506.06,14.81,-1.46
135,600585.SH,600585,1,海螺水泥,23.79,建材,芜湖市,0.24,0.83,35.6818,2.3,52.99,40.0,951.53,23.79,-0.13
136,600584.SH,600584,1,长电科技,37.82,电子设备,无锡市,0.23,0.26,15.5797,1.69,17.89,17.89,676.76,37.82,-0.16
137,600570.SH,600570,1,恒生电子,34.48,信息技术,杭州市,0.22,0.14,4.6177,2.98,18.92,18.92,652.28,34.48,-1.49
138,600547.SH,600547,1,山东黄金,37.99,有色金属,济南市,0.29,0.57,5.9678,9.81,46.1,36.14,1373.13,37.99,0.0
139,600519.SH,600519,1,贵州茅台,1515.1,食品饮料,遵义市,3.96,36.18,189.9753,17.89,12.52,12.52,18973.15,1515.1,-0.06
140,600515.SH,600515,1,海南机场,3.98,交通运输,海口市,0.1,0.0112,2.0579,0.54,114.25,91.76,365.21,3.98,-0.5
141,600489.SH,600489,1,中金黄金,19.06,有色金属,北京市,0.23,0.56,5.8337,9.36,48.47,48.47,923.9,19.06,-1.24
142,600482.SH,600482,1,中国动力,22.21,国防与装备,保定市,0.1,0.41,17.6299,2.32,22.53,22.53,500.36,22.21,0.5
143,600460.SH,600460,1,士兰微,30.37,电子设备,杭州市,0.15,0.16,7.3921,2.16,16.64,16.64,505.38,30.37,1.3
144,600438.SH,600438,1,通威股份,22.16,电气设备,成都市,0.25,-1.1007,9.3263,-10.72,45.02,45.02,997.64,22.16,-0.31
145,600436.SH,600436,1,片仔癀,202.02,医药生物,漳州市,0.26,2.39,24.2402,9.62,6.03,6.03,1218.82,202.02,-0.6
146,600426.SH,600426,1,华鲁恒升,26.28,基础化工,德州市,0.16,0.739,15.0556,4.96,21.23,21.19,556.92,26.28,-0.68
147,600415.SH,600415,1,小商品城,19.86,商贸零售,金华市,0.23,0.31,3.7188,8.03,54.84,54.83,1088.9,19.86,0.51
148,600406.SH,600406,1,国电南瑞,22.44,电气设备,南京市,0.37,0.37,6.0687,5.87,80.32,79.96,1794.38,22.44,0.9
149,600377.SH,600377,1,宁沪高速,12.91,交通运输,南京市,0.03,0.4811,7.9686,5.97,50.38,38.02,490.86,12.91,-0.69
150,600372.SH,600372,1,中航机载,12.15,国防与装备,北京市,0.12,0.1326,7.8455,1.7,48.39,48.39,587.93,12.15,-1.46
151,600362.SH,600362,1,江西铜业,30.28,有色金属,鹰潭市,0.13,1.21,23.0598,5.29,34.63,20.75,628.38,30.28,-2.23
