,f1,f2,f3,f12,f13,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
32,2,2241.2,0.02,BK0739,90,工程机械,-216196288.0,-169020640.0,-1.42,-47175648.0,-0.4,-160613760.0,-1.35,303547488.0,2.56,1757921981,-1.82,柳    工,000528,0
33,2,884.59,0.55,BK0726,90,工程咨询服务,-220361760.0,-72931120.0,-1.45,-147430640.0,-2.94,15523808.0,0.31,188582864.0,3.76,1757921981,-4.39,中钢国际,000928,0
34,2,708.84,-0.5,BK0740,90,教育,-238115456.0,-160445952.0,-5.11,-77669504.0,-2.48,-11934880.0,-0.38,250050336.0,7.97,1757921981,-7.59,中公教育,002607,0
35,2,1695.19,-0.7,BK1018,90,橡胶制品,-245549984.0,-168408784.0,-3.0,-77141200.0,-1.37,64146288.0,1.14,155814672.0,2.77,1757921981,-4.37,震安科技,300767,0
36,2,11462.7,-0.03,BK0484,90,贸易行业,-261394624.0,-26244608.0,-0.32,-235150016.0,-2.83,-12541456.0,-0.15,269554864.0,3.24,1757921981,-3.14,怡 亚 通,002183,0
37,2,6050.88,0.12,BK0464,90,石油行业,-276029792.0,-55837264.0,-1.0,-220192528.0,-3.94,30058176.0,0.54,245971616.0,4.4,1757921981,-4.93,中国石油,601857,1
38,2,31726.28,-0.05,BK0457,90,电网设备,-276865696.0,209371488.0,0.66,-486237184.0,-1.53,-50484480.0,-0.16,309497856.0,0.97,1757921981,-0.87,中超控股,002471,0
39,2,29837.59,0.44,BK0424,90,水泥建材,-280950720.0,-113625232.0,-2.01,-167325488.0,-2.96,42937024.0,0.76,238013680.0,4.21,1757921981,-4.97,四川金顶,600678,1
40,2,30315.15,-0.46,BK0538,90,化学制品,-290645552.0,360015312.0,1.05,-650660864.0,-1.89,-820736.0,0.0,258217216.0,0.75,1757921981,-0.84,天赐材料,002709,0
41,2,1703.04,-0.58,BK1020,90,非金属材料,-303989408.0,104229728.0,0.5,-408219136.0,-1.97,13694464.0,0.07,246543104.0,1.19,1757921981,-1.46,尚太科技,001301,0
42,2,1139.15,-0.28,BK1042,90,医药商业,-305851856.0,-298418320.0,-6.77,-7433536.0,-0.17,63955776.0,1.45,241896096.0,5.49,1757921981,-6.94,益丰药房,603939,1
43,2,512.49,-1.7,BK0734,90,珠宝首饰,-307854097.0,-174819729.0,-5.64,-133034368.0,-4.29,-39971888.0,-1.29,347825984.0,11.22,1757921981,-9.93,老凤祥,600612,1
44,2,5001.4,-0.46,BK0420,90,航空机场,-330710288.0,-200553328.0,-5.1,-130156960.0,-3.31,55746352.0,1.42,274963920.0,6.99,1757921981,-8.4,白云机场,600004,1
45,2,27308.89,0.51,BK0425,90,工程建设,-332981456.0,-315526096.0,-1.56,-17455360.0,-0.09,80818176.0,0.4,246231040.0,1.22,1757921981,-1.65,上海建工,600170,1
46,2,13167.28,-0.37,BK0436,90,纺织服装,-393110960.0,-98702592.0,-0.81,-294408368.0,-2.42,-64069616.0,-0.53,458973808.0,3.78,1757921981,-3.24,泰慕士,001234,0
47,2,11814.28,-0.5,BK0429,90,交运设备,-396568832.0,-276721968.0,-3.15,-119846864.0,-1.36,132316032.0,1.5,243196960.0,2.76,1757921981,-4.51,必得科技,605298,1
48,2,986.62,-0.12,BK1019,90,化学原料,-425710448.0,-409760144.0,-2.58,-15950304.0,-0.1,236294912.0,1.49,166952960.0,1.05,1757921981,-2.68,新瀚新材,301076,0
49,2,19199.32,-0.07,BK0454,90,塑料制品,-438254352.0,-370769168.0,-1.47,-67485184.0,-0.27,191720192.0,0.76,226978048.0,0.9,1757921981,-1.74,东材科技,601208,1
50,2,30700.52,0.2,BK0438,90,食品饮料,-439277888.0,-180820800.0,-0.88,-258457088.0,-1.25,130711040.0,0.63,348359424.0,1.69,1757921981,-2.13,惠发食品,603536,1
51,2,683.75,-0.2,BK0738,90,多元金融,-448994976.0,-356525088.0,-6.16,-92469888.0,-1.6,193104608.0,3.34,255890384.0,4.42,1757921981,-7.76,*ST仁东,002647,0
52,2,1833.7,0.09,BK1038,90,光学光电子,-484901632.0,-70751488.0,-0.2,-414150144.0,-1.15,81808896.0,0.23,403467008.0,1.12,1757921981,-1.35,冠捷科技,000727,0
53,2,1512.69,-0.55,BK1040,90,中药,-521369024.0,-237442208.0,-2.09,-283926816.0,-2.49,62039552.0,0.54,441779504.0,3.88,1757921981,-4.58,康美药业,600518,1
54,2,1970.77,-1.22,BK1039,90,电子化学品,-541524864.0,-396931888.0,-3.83,-144592976.0,-1.4,189378128.0,1.83,352146752.0,3.4,1757921981,-5.23,宏昌电子,603002,1
55,2,17776.83,0.41,BK0485,90,旅游酒店,-541525440.0,-196162960.0,-1.46,-345362480.0,-2.57,127366912.0,0.95,414158624.0,3.09,1757921981,-4.04,锦江酒店,600754,1
56,2,13013.01,-1.05,BK0539,90,综合行业,-587035008.0,-628148400.0,-7.73,41113392.0,0.51,272361712.0,3.35,314673280.0,3.87,1757921981,-7.22,云南能投,002053,0
57,2,8621.11,-0.58,BK0479,90,钢铁行业,-596868736.0,-465150720.0,-3.2,-131718016.0,-0.91,322076448.0,2.21,252521216.0,1.74,1757921981,-4.1,华菱钢铁,000932,0
58,2,40308.92,0.04,BK0465,90,化学制药,-599002368.0,-618017792.0,-1.36,19015424.0,0.04,624769024.0,1.38,-52627456.0,-0.12,1757921981,-1.32,德展健康,000813,0
59,2,10796.49,-0.07,BK0470,90,造纸印刷,-630721968.0,-561276688.0,-5.25,-69445280.0,-0.65,103372464.0,0.97,523104496.0,4.89,1757921981,-5.9,冠豪高新,600433,1
60,2,47142.85,-0.03,BK0545,90,通用设备,-701682176.0,497511168.0,0.89,-1199193344.0,-2.15,-241444096.0,-0.43,838656256.0,1.5,1757921981,-1.26,中大力德,002896,0
61,2,1189.12,-0.12,BK1044,90,生物制品,-819553728.0,-574984640.0,-2.73,-244569088.0,-1.16,264104960.0,1.25,505382656.0,2.4,1757921981,-3.89,百济神州-U,688235,1
62,2,517.13,-0.27,BK0728,90,环保行业,-839001232.0,-512187872.0,-2.89,-326813360.0,-1.84,161646848.0,0.91,702161664.0,3.96,1757921981,-4.73,ST岭南,002717,0
